City,Emotional & Physical Well-Being Rank
"Akron, OH",166
"Albuquerque, NM",132
"Amarillo, TX",153
"Anaheim, CA",26
"Anchorage, AK",62
"Arlington, TX",111
"Atlanta, GA",76
"Augusta, GA",163
"Aurora, CO",38
"Aurora, IL",29
"Austin, TX",47
"Bakersfield, CA",131
"Baltimore, MD",139
"Baton Rouge, LA",167
"Billings, MT",105
"Birmingham, AL",171
"Bismarck, ND",12
"Boise, ID",34
"Boston, MA",39
"Bridgeport, CT",82
"Brownsville, TX",154
"Buffalo, NY",140
"Burlington, VT",54
"Cape Coral, FL",70
"Casper, WY",144
"Cedar Rapids, IA",60
"Chandler, AZ",50
"Charleston, SC",45
"Charleston, WV",178
"Charlotte, NC",30
"Chattanooga, TN",150
"Chesapeake, VA",61
"Cheyenne, WY",87
"Chicago, IL",56
"Chula Vista, CA",25
"Cincinnati, OH",145
"Cleveland, OH",172
"Colorado Springs, CO",91
"Columbia, MD",5
"Columbia, SC",122
"Columbus, GA",168
"Columbus, OH",130
"Corpus Christi, TX",151
"Dallas, TX",114
"Denver, CO",52
"Des Moines, IA",66
"Detroit, MI",180
"Dover, DE",157
"Durham, NC",41
"El Paso, TX",133
"Fargo, ND",11
"Fayetteville, NC",170
"Fontana, CA",95
"Fort Lauderdale, FL",59
"Fort Smith, AR",181
"Fort Wayne, IN",127
"Fort Worth, TX",117
"Fremont, CA",1
"Fresno, CA",115
"Garden Grove, CA",24
"Garland, TX",113
"Gilbert, AZ",40
"Glendale, AZ",93
"Glendale, CA",32
"Grand Prairie, TX",112
"Grand Rapids, MI",100
"Greensboro, NC",101
"Gulfport, MS",173
"Henderson, NV",108
"Hialeah, FL",79
"Honolulu, HI",19
"Houston, TX",94
"Huntington Beach, CA",13
"Huntington, WV",182
"Huntsville, AL",159
"Indianapolis, IN",136
"Irvine, CA",4
"Irving, TX",98
"Jackson, MS",161
"Jacksonville, FL",115
"Jersey City, NJ",33
"Juneau, AK",45
"Kansas City, MO",125
"Knoxville, TN",169
"Laredo, TX",160
"Las Cruces, NM",121
"Las Vegas, NV",135
"Lewiston, ME",176
"Lexington-Fayette, KY",110
"Lincoln, NE",21
"Little Rock, AR",142
"Long Beach, CA",51
"Los Angeles, CA",49
"Louisville, KY",143
"Lubbock, TX",164
"Madison, WI",7
"Manchester, NH",99
"Memphis, TN",158
"Mesa, AZ",83
"Miami, FL",73
"Milwaukee, WI",89
"Minneapolis, MN",17
"Missoula, MT",85
"Mobile, AL",175
"Modesto, CA",103
"Montgomery, AL",177
"Moreno Valley, CA",81
"Nampa, ID",72
"Nashua, NH",75
"Nashville, TN",119
"New Haven, CT",128
"New Orleans, LA",152
"New York, NY",63
"Newark, NJ",104
"Newport News, VA",102
"Norfolk, VA",129
"North Las Vegas, NV",146
"Oakland, CA",14
"Oceanside, CA",31
"Oklahoma City, OK",148
"Omaha, NE",42
"Ontario, CA",96
"Orlando, FL",68
"Overland Park, KS",6
"Oxnard, CA",36
"Pearl City, HI",15
"Pembroke Pines, FL",48
"Peoria, AZ",65
"Philadelphia, PA",156
"Phoenix, AZ",86
"Pittsburgh, PA",88
"Plano, TX",35
"Port St. Lucie, FL",97
"Portland, ME",43
"Portland, OR",57
"Providence, RI",118
"Raleigh, NC",9
"Rancho Cucamonga, CA",67
"Rapid City, SD",58
"Reno, NV",106
"Richmond, VA",120
"Riverside, CA",71
"Rochester, NY",141
"Sacramento, CA",55
"Salem, OR",137
"Salt Lake City, UT",77
"San Antonio, TX",155
"San Bernardino, CA",138
"San Diego, CA",20
"San Francisco, CA",3
"San Jose, CA",2
"Santa Ana, CA",53
"Santa Clarita, CA",23
"Santa Rosa, CA",28
"Scottsdale, AZ",27
"Seattle, WA",8
"Shreveport, LA",179
"Sioux Falls, SD",10
"South Burlington, VT",16
"Spokane, WA",134
"Springfield, MO",165
"St. Louis, MO",149
"St. Paul, MN",37
"St. Petersburg, FL",78
"Stockton, CA",90
"Tacoma, WA",80
"Tallahassee, FL",109
"Tampa, FL",69
"Tempe, AZ",64
"Toledo, OH",174
"Tucson, AZ",147
"Tulsa, OK",162
"Vancouver, WA",74
"Virginia Beach, VA",44
"Warwick, RI",84
"Washington, DC",18
"West Valley City, UT",107
"Wichita, KS",124
"Wilmington, DE",126
"Winston-Salem, NC",123
"Worcester, MA",92
"Yonkers, NY",22
