Rank,Name,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,%Transit,Population
65,"Albuquerque, NM",4.1,0.5,"68,453",640,3,21 mi2,1.50%,"543,444"
45,"Anaheim, CA",5.4,0.8,"164,937","1,584",5,38 mi2,2.30%,"345,428"
68,"Anchorage, AK",3.9,0.4,"51,758",750,3,12 mi2,1.50%,"290,674"
87,"Arlington, TX",0.1,0,78,8,0,0 mi2,0.20%,"392,753"
22,"Atlanta, GA",7.5,1.9,"257,838","2,523",10,38 mi2,9.60%,"494,513"
39,"Aurora, CO",5.8,0.7,"99,613","1,278",4,33 mi2,4.30%,"381,075"
44,"Austin, TX",5.4,1,"152,170","1,907",5,22 mi2,3.20%,"943,530"
73,"Bakersfield, CA",3.8,0.5,"29,364",498,3,15 mi2,0.90%,"404,951"
11,"Baltimore, MD",8.3,3.5,"255,135","3,787",12,53 mi2,14.80%,"584,548"
6,"Boston, MA",9.1,7.1,"732,061","5,983",14,68 mi2,30.60%,"665,942"
27,"Buffalo, NY",7.3,2.2,"132,530","1,661",8,39 mi2,9.20%,"276,688"
72,"Chandler, AZ",3.8,0.3,"71,639",608,2,23 mi2,0.60%,"270,760"
51,"Charlotte, NC",4.8,0.7,"131,798","1,128",4,27 mi2,3.10%,"857,940"
4,"Chicago, IL",9.2,3.9,"545,242","6,082",11,52 mi2,25.10%,"2,723,878"
41,"Chula Vista, CA",5.7,0.7,"40,988","1,220",3,18 mi2,2.70%,"270,063"
26,"Cincinnati, OH",7.3,2.2,"182,320","2,686",10,46 mi2,6.60%,"307,294"
19,"Cleveland, OH",7.6,1.4,"153,684","2,368",6,40 mi2,8.30%,"370,278"
78,"Colorado Springs, CO",3.4,0.4,"28,167",600,3,10 mi2,0.70%,"470,936"
50,"Columbus, OH",4.8,0.7,"117,102","1,133",4,24 mi2,2.80%,"844,649"
61,"Corpus Christi, TX",4.2,0.6,"32,467",589,4,14 mi2,1.20%,"311,857"
32,"Dallas, TX",6.6,1,"177,968","2,075",5,26 mi2,3.00%,"1,330,798"
24,"Denver, CO",7.3,1.7,"232,676","2,264",8,42 mi2,6.20%,"710,800"
33,"Detroit, MI",6.5,1.1,"108,498","1,558",6,58 mi2,6.90%,"637,041"
52,"Durham, NC",4.8,0.7,"57,024","1,409",5,14 mi2,3.20%,"254,194"
60,"El Paso, TX",4.2,0.7,"38,335",688,5,15 mi2,1.20%,"656,547"
82,"Fort Wayne, IN",2.9,0.4,"22,923",190,3,10 mi2,1.30%,"252,677"
69,"Fort Worth, TX",3.9,0.6,"27,240","1,142",2,8 mi2,0.60%,"911,428"
46,"Fresno, CA",5.4,0.7,"75,989","1,180",4,27 mi2,1.40%,"511,704"
86,"Gilbert, AZ",2.2,0.1,"20,424",264,1,9 mi2,0.60%,"262,076"
67,"Greensboro, NC",3.9,0.4,"40,943",787,3,14 mi2,2.50%,"276,266"
55,"Henderson, NV",4.5,0.5,"43,510","1,135",2,17 mi2,0.80%,"314,640"
40,"Houston, TX",5.7,0.8,"184,921","1,837",4,32 mi2,3.60%,"2,482,229"
71,"Indianapolis city (balance), IN",3.8,0.6,"82,892",806,3,20 mi2,1.70%,"878,897"
62,"Irvine, CA",4.2,0.6,"149,938",627,4,23 mi2,1.10%,"300,647"
48,"Irving, TX",5.2,0.4,"63,514",761,2,13 mi2,1.50%,"254,982"
77,"Jacksonville, FL",3.4,0.4,"38,618",684,3,16 mi2,1.50%,"952,608"
3,"Jersey City, NJ",9.2,5.6,"828,599","5,272",3,26 mi2,47.80%,"287,899"
64,"Kansas City, MO",4.1,0.8,"75,622",989,4,21 mi2,2.50%,"509,575"
34,"Las Vegas, NV",6.1,1.2,"121,213","2,336",3,36 mi2,3.20%,"625,418"
66,"Lexington-Fayette, KY",4.1,0.7,"48,414",790,3,13 mi2,1.70%,"321,276"
58,"Lincoln, NE",4.2,0.5,"50,223",683,4,16 mi2,1.00%,"275,128"
16,"Long Beach, CA",7.8,2.7,"166,563","2,754",11,47 mi2,4.90%,"462,335"
18,"Los Angeles, CA",7.7,2.3,"424,333","4,140",10,52 mi2,8.50%,"3,880,512"
85,"Louisville/Jefferson County metro government (balance), KY",2.3,0.2,"19,669",252,1,9 mi2,1.10%,"396,354"
83,"Lubbock, TX",2.8,0.3,"19,026",362,2,7 mi2,0.80%,"257,403"
23,"Madison, WI",7.4,1.9,"118,481","4,992",7,29 mi2,7.70%,"260,546"
75,"Memphis, TN",3.6,0.5,"45,900",501,3,21 mi2,1.00%,"627,640"
57,"Mesa, AZ",4.3,0.4,"63,370",821,3,21 mi2,1.40%,"498,481"
9,"Miami, FL",8.5,2.7,"293,807","4,935",11,42 mi2,8.40%,"441,830"
20,"Milwaukee, WI",7.6,1.9,"181,382","2,773",7,51 mi2,6.20%,"573,459"
12,"Minneapolis, MN",8.1,2.9,"329,428","4,192",12,50 mi2,11.00%,"426,877"
70,"Nashville-Davidson metropolitan government (balance), TN",3.8,0.5,"89,113",915,3,14 mi2,1.90%,"682,613"
28,"New Orleans, LA",7.1,1.4,"83,640","1,666",6,23 mi2,6.00%,"380,408"
1,"New York, NY",9.6,8.7,"1,296,548","13,960",19,44 mi2,54.40%,"8,621,501"
8,"Newark, NJ",8.8,4.8,"282,108","5,486",2,50 mi2,21.20%,"307,355"
37,"North Las Vegas, NV",6,0.8,"78,750","1,712",3,33 mi2,2.10%,"263,547"
15,"Oakland, CA",7.9,3.4,"349,171","4,379",15,41 mi2,20.80%,"437,832"
